"","N_iter","ARI","Frobenius_norm","Simulation","Inference","N_seeds","Model"
"16135",1000001,1,26.0069930069924,66,"Bayesian",NA,"Bayesian (Pooled)"
"16416",1000001,1,8.96223776223715,67,"Bayesian",NA,"Bayesian (Pooled)"
"16669",1000001,1,18.1935841935841,68,"Bayesian",NA,"Bayesian (Pooled)"
"16894",1000001,1,42.5432067932069,69,"Bayesian",NA,"Bayesian (Pooled)"
"17119",1000001,1,46.559190809191,6,"Bayesian",NA,"Bayesian (Pooled)"
"17372",1000001,1,19.5284715284715,70,"Bayesian",NA,"Bayesian (Pooled)"
"17569",1000001,1,14.0408163265307,71,"Bayesian",NA,"Bayesian (Pooled)"
"17850",1000001,1,13.4977022977018,72,"Bayesian",NA,"Bayesian (Pooled)"
"18131",1000001,1,14.7402597402592,73,"Bayesian",NA,"Bayesian (Pooled)"
"18384",1000001,1,14.947718947719,74,"Bayesian",NA,"Bayesian (Pooled)"
"18637",1000001,1,15.5198135198135,75,"Bayesian",NA,"Bayesian (Pooled)"
"18918",1000001,1,10.7082917082912,76,"Bayesian",NA,"Bayesian (Pooled)"
"19171",1000001,1,9.53313353313347,77,"Bayesian",NA,"Bayesian (Pooled)"
"19424",1000001,1,15.7655677655678,78,"Bayesian",NA,"Bayesian (Pooled)"
"19677",1000001,1,13.101565101565,79,"Bayesian",NA,"Bayesian (Pooled)"
"19958",1000001,1,10.6013986013981,7,"Bayesian",NA,"Bayesian (Pooled)"
"20239",1000001,1,14.9352647352642,80,"Bayesian",NA,"Bayesian (Pooled)"
"20492",1000001,1,27.7420357420357,81,"Bayesian",NA,"Bayesian (Pooled)"
"20773",1000001,1,41.2821178821173,82,"Bayesian",NA,"Bayesian (Pooled)"
"21026",1000001,1,12.2803862803862,83,"Bayesian",NA,"Bayesian (Pooled)"
"21279",1000001,1,15.2138972138972,84,"Bayesian",NA,"Bayesian (Pooled)"
"21560",1000001,1,25.1738261738256,85,"Bayesian",NA,"Bayesian (Pooled)"
"21757",1000001,1,13.0712144997861,86,"Bayesian",NA,"Bayesian (Pooled)"
"22038",1000001,1,15.0769230769226,87,"Bayesian",NA,"Bayesian (Pooled)"
"22291",1000001,1,12.2410922410923,88,"Bayesian",NA,"Bayesian (Pooled)"
"22544",1000001,1,24.2231102231103,89,"Bayesian",NA,"Bayesian (Pooled)"
"22769",1000001,1,17.3399100899102,8,"Bayesian",NA,"Bayesian (Pooled)"
"23022",1000001,1,10.8664668664669,90,"Bayesian",NA,"Bayesian (Pooled)"
"23219",1000001,1,19.4796631939491,91,"Bayesian",NA,"Bayesian (Pooled)"
"23500",1000001,1,27.2847152847149,92,"Bayesian",NA,"Bayesian (Pooled)"
"23725",1000001,1,18.9910089910091,93,"Bayesian",NA,"Bayesian (Pooled)"
"23950",1000001,1,39.8706293706295,94,"Bayesian",NA,"Bayesian (Pooled)"
"24203",1000001,1,14.1054501054501,95,"Bayesian",NA,"Bayesian (Pooled)"
"24484",1000001,1,11.87952047952,96,"Bayesian",NA,"Bayesian (Pooled)"
"24709",1000001,1,36.1530969030971,97,"Bayesian",NA,"Bayesian (Pooled)"
"24934",1000001,1,25.3688811188813,98,"Bayesian",NA,"Bayesian (Pooled)"
"25131",1000001,1,18.5171970886258,99,"Bayesian",NA,"Bayesian (Pooled)"
"25412",1000001,1,21.2081918081913,9,"Bayesian",NA,"Bayesian (Pooled)"
"1",1,0.707931099851835,3178,100,"Consensus",1,"Consensus (1, 1)"
"2",10,0.992548197933885,94,100,"Consensus",1,"Consensus (10, 1)"
"3",100,0.99413928820919,74,100,"Consensus",1,"Consensus (100, 1)"
"4",1000,1,0,100,"Consensus",1,"Consensus (1000, 1)"
"5",10000,1,0,100,"Consensus",1,"Consensus (10000, 1)"
"6",1,0.907515733169413,3973.8,100,"Consensus",10,"Consensus (1, 10)"
"7",10,1,80,100,"Consensus",10,"Consensus (10, 10)"
"8",100,1,24,100,"Consensus",10,"Consensus (100, 10)"
"9",1000,1,23,100,"Consensus",10,"Consensus (1000, 10)"
"10",10000,1,16.8,100,"Consensus",10,"Consensus (10000, 10)"
"11",1,0.940823995671784,4230.66666666667,100,"Consensus",30,"Consensus (1, 30)"
"12",10,1,140.333333333334,100,"Consensus",30,"Consensus (10, 30)"
"13",100,1,11.1333333333334,100,"Consensus",30,"Consensus (100, 30)"
"14",1000,1,13.9333333333334,100,"Consensus",30,"Consensus (1000, 30)"
"15",10000,1,26.7333333333334,100,"Consensus",30,"Consensus (10000, 30)"
"16",1,0.962884683791048,4118.64,100,"Consensus",50,"Consensus (1, 50)"
"17",10,1,130.68,100,"Consensus",50,"Consensus (10, 50)"
