"","N_iter","ARI","Frobenius_norm","Simulation","Inference","N_seeds","Model"
"16359",1000001,0,9506.13408813409,66,"Bayesian",NA,"Bayesian (Pooled)"
"16640",1000001,0,9500.80959040959,67,"Bayesian",NA,"Bayesian (Pooled)"
"16921",1000001,0,9505.92307692308,68,"Bayesian",NA,"Bayesian (Pooled)"
"17174",1000001,0,9502.30236430236,69,"Bayesian",NA,"Bayesian (Pooled)"
"17427",1000001,0,9508.67332667333,6,"Bayesian",NA,"Bayesian (Pooled)"
"17708",1000001,0,9497.85234765235,70,"Bayesian",NA,"Bayesian (Pooled)"
"17989",1000001,0,9506.54705294705,71,"Bayesian",NA,"Bayesian (Pooled)"
"18242",1000001,0,9508.93661893662,72,"Bayesian",NA,"Bayesian (Pooled)"
"18523",1000001,0,9501.87312687313,73,"Bayesian",NA,"Bayesian (Pooled)"
"18748",1000001,0,9507.28246753247,74,"Bayesian",NA,"Bayesian (Pooled)"
"19001",1000001,0,9496.19491619492,75,"Bayesian",NA,"Bayesian (Pooled)"
"19254",1000001,0,9507.29115329115,76,"Bayesian",NA,"Bayesian (Pooled)"
"19507",1000001,0,9505.10334110334,77,"Bayesian",NA,"Bayesian (Pooled)"
"19788",1000001,0,9503.83856143856,78,"Bayesian",NA,"Bayesian (Pooled)"
"20041",1000001,0,9495.93206793207,79,"Bayesian",NA,"Bayesian (Pooled)"
"20294",1000001,0,9509.20412920413,7,"Bayesian",NA,"Bayesian (Pooled)"
"20575",1000001,0,9510.95664335664,80,"Bayesian",NA,"Bayesian (Pooled)"
"20828",1000001,0,9502.17427017427,81,"Bayesian",NA,"Bayesian (Pooled)"
"21053",1000001,0,9504.31693306693,82,"Bayesian",NA,"Bayesian (Pooled)"
"21306",1000001,0,9509.76601176601,83,"Bayesian",NA,"Bayesian (Pooled)"
"21503",1000001,0,9491.97060082774,84,"Bayesian",NA,"Bayesian (Pooled)"
"21784",1000001,0,9503.53846153846,85,"Bayesian",NA,"Bayesian (Pooled)"
"22065",1000001,0,9504.45674325674,86,"Bayesian",NA,"Bayesian (Pooled)"
"22346",1000001,0,9506.64835164835,87,"Bayesian",NA,"Bayesian (Pooled)"
"22571",1000001,0,9507.99150849151,88,"Bayesian",NA,"Bayesian (Pooled)"
"22852",1000001,0,9504.52227772228,89,"Bayesian",NA,"Bayesian (Pooled)"
"23105",1000001,0,9504.63048063048,8,"Bayesian",NA,"Bayesian (Pooled)"
"23386",1000001,0,9502.55844155844,90,"Bayesian",NA,"Bayesian (Pooled)"
"23611",1000001,0,9497.87762237762,91,"Bayesian",NA,"Bayesian (Pooled)"
"23864",1000001,0,9498.47197247197,92,"Bayesian",NA,"Bayesian (Pooled)"
"24145",1000001,0,9503.43216783217,93,"Bayesian",NA,"Bayesian (Pooled)"
"24426",1000001,0,9504.35544455544,94,"Bayesian",NA,"Bayesian (Pooled)"
"24707",1000001,0,9497.57822177822,95,"Bayesian",NA,"Bayesian (Pooled)"
"24988",1000001,0,9510.81138861139,96,"Bayesian",NA,"Bayesian (Pooled)"
"25269",1000001,0,9509.07832167832,97,"Bayesian",NA,"Bayesian (Pooled)"
"25494",1000001,0,9508.74875124875,98,"Bayesian",NA,"Bayesian (Pooled)"
"25775",1000001,0,9508.2973026973,99,"Bayesian",NA,"Bayesian (Pooled)"
"25972",1000001,0,9503.02640216926,9,"Bayesian",NA,"Bayesian (Pooled)"
"1",1,0,9546,100,"Consensus",1,"Consensus (1, 1)"
"2",10,0,9490,100,"Consensus",1,"Consensus (10, 1)"
"3",100,0,9448,100,"Consensus",1,"Consensus (100, 1)"
"4",1000,0,9252,100,"Consensus",1,"Consensus (1000, 1)"
"5",10000,0,9488,100,"Consensus",1,"Consensus (10000, 1)"
"6",1,0,9520,100,"Consensus",10,"Consensus (1, 10)"
"7",10,0,9470.4,100,"Consensus",10,"Consensus (10, 10)"
"8",100,0,9506.4,100,"Consensus",10,"Consensus (100, 10)"
"9",1000,0,9457.4,100,"Consensus",10,"Consensus (1000, 10)"
"10",10000,0,9511.8,100,"Consensus",10,"Consensus (10000, 10)"
"11",1,0,9530.33333333333,100,"Consensus",30,"Consensus (1, 30)"
"12",10,0,9482.53333333333,100,"Consensus",30,"Consensus (10, 30)"
"13",100,0,9504.46666666667,100,"Consensus",30,"Consensus (100, 30)"
"14",1000,0,9506.2,100,"Consensus",30,"Consensus (1000, 30)"
