"","N_iter","ARI","Frobenius_norm","Simulation","Inference","N_seeds","Model"
"281",1000001,1,44.5668331668326,100,"Bayesian",NA,"Bayesian (Pooled)"
"506",1000001,1,35.7537462537463,10,"Bayesian",NA,"Bayesian (Pooled)"
"759",1000001,1,19.9120879120878,11,"Bayesian",NA,"Bayesian (Pooled)"
"1012",1000001,0.994329643200634,76.8258408258408,12,"Bayesian",NA,"Bayesian (Pooled)"
"1265",1000001,0.994358445919113,85.5104895104894,13,"Bayesian",NA,"Bayesian (Pooled)"
"1490",1000001,1,20.1725774225775,14,"Bayesian",NA,"Bayesian (Pooled)"
"1771",1000001,0.993658633738299,67.6083916083909,15,"Bayesian",NA,"Bayesian (Pooled)"
"2052",1000001,1,12.435364635364,16,"Bayesian",NA,"Bayesian (Pooled)"
"2333",1000001,1,42.7018981018975,17,"Bayesian",NA,"Bayesian (Pooled)"
"2530",1000001,1,17.0786356500643,18,"Bayesian",NA,"Bayesian (Pooled)"
"2811",1000001,1,9.52587412587337,19,"Bayesian",NA,"Bayesian (Pooled)"
"3064",1000001,1,19.066267066267,1,"Bayesian",NA,"Bayesian (Pooled)"
"3345",1000001,1,14.3662337662331,20,"Bayesian",NA,"Bayesian (Pooled)"
"3598",1000001,0.994370059656621,56.2180042180041,21,"Bayesian",NA,"Bayesian (Pooled)"
"3851",1000001,1,26.1256521256521,22,"Bayesian",NA,"Bayesian (Pooled)"
"4132",1000001,1,16.0879120879115,23,"Bayesian",NA,"Bayesian (Pooled)"
"4413",1000001,1,23.8769230769223,24,"Bayesian",NA,"Bayesian (Pooled)"
"4694",1000001,1,13.6209790209784,25,"Bayesian",NA,"Bayesian (Pooled)"
"4947",1000001,1,23.4483294483293,26,"Bayesian",NA,"Bayesian (Pooled)"
"5228",1000001,1,33.644355644355,27,"Bayesian",NA,"Bayesian (Pooled)"
"5481",1000001,1,19.2967032967032,28,"Bayesian",NA,"Bayesian (Pooled)"
"5734",1000001,1,12.6002886002885,29,"Bayesian",NA,"Bayesian (Pooled)"
"5987",1000001,1,41.8008658008658,2,"Bayesian",NA,"Bayesian (Pooled)"
"6212",1000001,1,10.1955544455545,30,"Bayesian",NA,"Bayesian (Pooled)"
"6493",1000001,1,31.6837162837155,31,"Bayesian",NA,"Bayesian (Pooled)"
"6746",1000001,1,43.5007215007215,32,"Bayesian",NA,"Bayesian (Pooled)"
"7027",1000001,1,18.5468531468525,33,"Bayesian",NA,"Bayesian (Pooled)"
"7308",1000001,1,11.34925074925,34,"Bayesian",NA,"Bayesian (Pooled)"
"7589",1000001,1,67.8059940059933,35,"Bayesian",NA,"Bayesian (Pooled)"
"7870",1000001,1,17.62937062937,36,"Bayesian",NA,"Bayesian (Pooled)"
"8095",1000001,1,22.0402097902098,37,"Bayesian",NA,"Bayesian (Pooled)"
"8348",1000001,1,20.3831723831723,38,"Bayesian",NA,"Bayesian (Pooled)"
"8629",1000001,1,16.7368631368624,39,"Bayesian",NA,"Bayesian (Pooled)"
"8910",1000001,1,19.9796203796196,3,"Bayesian",NA,"Bayesian (Pooled)"
"9163",1000001,1,10.6096126096125,40,"Bayesian",NA,"Bayesian (Pooled)"
"9444",1000001,1,11.9008991008984,41,"Bayesian",NA,"Bayesian (Pooled)"
"9697",1000001,1,13.1888111888111,42,"Bayesian",NA,"Bayesian (Pooled)"
"9950",1000001,1,15.9023199023198,43,"Bayesian",NA,"Bayesian (Pooled)"
"10231",1000001,1,12.4027972027964,44,"Bayesian",NA,"Bayesian (Pooled)"
"10512",1000001,1,30.2051948051941,45,"Bayesian",NA,"Bayesian (Pooled)"
"10793",1000001,1,11.3206793206786,46,"Bayesian",NA,"Bayesian (Pooled)"
"11018",1000001,1,28.2205294705295,47,"Bayesian",NA,"Bayesian (Pooled)"
"11243",1000001,1,23.3096903096904,48,"Bayesian",NA,"Bayesian (Pooled)"
"11468",1000001,1,36.5142357642358,49,"Bayesian",NA,"Bayesian (Pooled)"
"11749",1000001,1,17.8349650349644,4,"Bayesian",NA,"Bayesian (Pooled)"
"11974",1000001,0.994793775972256,53.0342157842159,50,"Bayesian",NA,"Bayesian (Pooled)"
"12255",1000001,1,15.6975024975018,51,"Bayesian",NA,"Bayesian (Pooled)"
"12508",1000001,1,11.5579975579974,52,"Bayesian",NA,"Bayesian (Pooled)"
"12705",1000001,0.993999827977084,110.929070929071,53,"Bayesian",NA,"Bayesian (Pooled)"
"12958",1000001,1,14.9559329559328,54,"Bayesian",NA,"Bayesian (Pooled)"
"13211",1000001,0.994586942338455,83.036297036297,55,"Bayesian",NA,"Bayesian (Pooled)"
"13436",1000001,1,11.7422577422578,56,"Bayesian",NA,"Bayesian (Pooled)"
"13717",1000001,1,12.0719280719273,57,"Bayesian",NA,"Bayesian (Pooled)"
"13970",1000001,1,21.8834498834498,58,"Bayesian",NA,"Bayesian (Pooled)"
"14223",1000001,1,20.026418026418,59,"Bayesian",NA,"Bayesian (Pooled)"
"14504",1000001,0.993188699246144,60.0589410589403,5,"Bayesian",NA,"Bayesian (Pooled)"
"14785",1000001,0.993085291242542,99.9792207792202,60,"Bayesian",NA,"Bayesian (Pooled)"
"15010",1000001,1,16.2092907092908,61,"Bayesian",NA,"Bayesian (Pooled)"
"15263",1000001,0.99290332755086,106.810522810523,62,"Bayesian",NA,"Bayesian (Pooled)"
"15516",1000001,1,10.9010989010988,63,"Bayesian",NA,"Bayesian (Pooled)"
"15769",1000001,1,26.2077922077921,64,"Bayesian",NA,"Bayesian (Pooled)"
"15994",1000001,1,17.2789710289711,65,"Bayesian",NA,"Bayesian (Pooled)"
"16275",1000001,1,15.2185814185807,66,"Bayesian",NA,"Bayesian (Pooled)"
"16556",1000001,1,22.8979020979014,67,"Bayesian",NA,"Bayesian (Pooled)"
"16753",1000001,1,27.7924932210647,68,"Bayesian",NA,"Bayesian (Pooled)"
"16950",1000001,1,24.6168117596689,69,"Bayesian",NA,"Bayesian (Pooled)"
"17175",1000001,1,16.4178321678323,6,"Bayesian",NA,"Bayesian (Pooled)"
"17428",1000001,1,23.5096015096014,70,"Bayesian",NA,"Bayesian (Pooled)"
"17709",1000001,1,27.1108891108884,71,"Bayesian",NA,"Bayesian (Pooled)"
"17990",1000001,1,14.4109890109883,72,"Bayesian",NA,"Bayesian (Pooled)"
"18271",1000001,1,14.6485514485507,73,"Bayesian",NA,"Bayesian (Pooled)"
"18524",1000001,1,38.1838161838161,74,"Bayesian",NA,"Bayesian (Pooled)"
"18805",1000001,1,23.7126873126866,75,"Bayesian",NA,"Bayesian (Pooled)"
"19058",1000001,1,11.2138972138971,76,"Bayesian",NA,"Bayesian (Pooled)"
"19339",1000001,1,9.89210789210716,77,"Bayesian",NA,"Bayesian (Pooled)"
"19620",1000001,1,13.294305694305,78,"Bayesian",NA,"Bayesian (Pooled)"
"19873",1000001,1,20.4604284604284,79,"Bayesian",NA,"Bayesian (Pooled)"
"20126",1000001,1,24.6766566766566,7,"Bayesian",NA,"Bayesian (Pooled)"
"20407",1000001,1,10.0033966033958,80,"Bayesian",NA,"Bayesian (Pooled)"
"20632",1000001,1,19.6078921078922,81,"Bayesian",NA,"Bayesian (Pooled)"
"20913",1000001,1,18.4937062937056,82,"Bayesian",NA,"Bayesian (Pooled)"
"21166",1000001,1,57.3812853812853,83,"Bayesian",NA,"Bayesian (Pooled)"
"21419",1000001,1,65.4603174603174,84,"Bayesian",NA,"Bayesian (Pooled)"
"21672",1000001,1,17.0516150516149,85,"Bayesian",NA,"Bayesian (Pooled)"
"21953",1000001,1,19.4151848151842,86,"Bayesian",NA,"Bayesian (Pooled)"
"22206",1000001,1,9.88211788211779,87,"Bayesian",NA,"Bayesian (Pooled)"
"22459",1000001,1,20.4604284604284,88,"Bayesian",NA,"Bayesian (Pooled)"
"22656",1000001,1,38.1900956186671,89,"Bayesian",NA,"Bayesian (Pooled)"
"22937",1000001,1,16.2111888111882,8,"Bayesian",NA,"Bayesian (Pooled)"
"23190",1000001,1,16.7923187923187,90,"Bayesian",NA,"Bayesian (Pooled)"
"23443",1000001,1,13.7546897546897,91,"Bayesian",NA,"Bayesian (Pooled)"
"23696",1000001,0.988031454199365,117.218337218337,92,"Bayesian",NA,"Bayesian (Pooled)"
"23977",1000001,1,10.4769230769222,93,"Bayesian",NA,"Bayesian (Pooled)"
"24258",1000001,1,20.1702297702291,94,"Bayesian",NA,"Bayesian (Pooled)"
"24539",1000001,1,14.0471528471521,95,"Bayesian",NA,"Bayesian (Pooled)"
"24792",1000001,1,10.8245088245087,96,"Bayesian",NA,"Bayesian (Pooled)"
"25017",1000001,1,71.4927572427573,97,"Bayesian",NA,"Bayesian (Pooled)"
"25270",1000001,1,27.8903318903318,98,"Bayesian",NA,"Bayesian (Pooled)"
"25551",1000001,1,15.4259740259732,99,"Bayesian",NA,"Bayesian (Pooled)"
"25804",1000001,1,23.7731157731157,9,"Bayesian",NA,"Bayesian (Pooled)"
"1",1,0.631417366121683,5170,100,"Consensus",1,"Consensus (1, 1)"
"2",10,0.986392669061335,176,100,"Consensus",1,"Consensus (10, 1)"
"3",100,0.991520826167934,110,100,"Consensus",1,"Consensus (100, 1)"
"4",1000,1,0,100,"Consensus",1,"Consensus (1000, 1)"
"5",10000,0.991520826167934,110,100,"Consensus",1,"Consensus (10000, 1)"
"6",1,0.654209911754105,6144.2,100,"Consensus",10,"Consensus (1, 10)"
"7",10,1,799.6,100,"Consensus",10,"Consensus (10, 10)"
"8",100,1,28.6,100,"Consensus",10,"Consensus (100, 10)"
"9",1000,1,11,100,"Consensus",10,"Consensus (1000, 10)"
"10",10000,1,39,100,"Consensus",10,"Consensus (10000, 10)"
"11",1,0.654578951336011,6012.13333333333,100,"Consensus",30,"Consensus (1, 30)"
"12",10,1,768.666666666667,100,"Consensus",30,"Consensus (10, 30)"
"13",100,1,30,100,"Consensus",30,"Consensus (100, 30)"
"14",1000,1,6.53333333333335,100,"Consensus",30,"Consensus (1000, 30)"
"15",10000,1,38.6666666666667,100,"Consensus",30,"Consensus (10000, 30)"
"16",1,0.649684417063981,6006.08,100,"Consensus",50,"Consensus (1, 50)"
"17",10,1,797.68,100,"Consensus",50,"Consensus (10, 50)"
"18",100,1,44.52,100,"Consensus",50,"Consensus (100, 50)"
"19",1000,1,17.5199999999999,100,"Consensus",50,"Consensus (1000, 50)"
"20",10000,1,34.64,100,"Consensus",50,"Consensus (10000, 50)"
"21",1,0.716774404664055,5939.34,100,"Consensus",100,"Consensus (1, 100)"
"22",10,1,704.160000000001,100,"Consensus",100,"Consensus (10, 100)"
"23",100,1,35.8200000000001,100,"Consensus",100,"Consensus (100, 100)"
"24",1000,1,31.68,100,"Consensus",100,"Consensus (1000, 100)"
"25",10000,1,32.22,100,"Consensus",100,"Consensus (10000, 100)"
"26",1,0.628122788025649,4432,10,"Consensus",1,"Consensus (1, 1)"
"27",10,0.987231532340435,160,10,"Consensus",1,"Consensus (10, 1)"
"28",100,1,0,10,"Consensus",1,"Consensus (100, 1)"
"29",1000,1,0,10,"Consensus",1,"Consensus (1000, 1)"
"30",10000,1,0,10,"Consensus",1,"Consensus (10000, 1)"
"31",1,0.779386878980708,5148.2,10,"Consensus",10,"Consensus (1, 10)"
"32",10,0.994916157716946,334.2,10,"Consensus",10,"Consensus (10, 10)"
"33",100,1,39.8,10,"Consensus",10,"Consensus (100, 10)"
"34",1000,1,41.4,10,"Consensus",10,"Consensus (1000, 10)"
"35",10000,1,25.6,10,"Consensus",10,"Consensus (10000, 10)"
"36",1,0.901492575576217,5186.13333333333,10,"Consensus",30,"Consensus (1, 30)"
"37",10,0.994916157716946,359.466666666667,10,"Consensus",30,"Consensus (10, 30)"
"38",100,1,19.6666666666667,10,"Consensus",30,"Consensus (100, 30)"
"39",1000,1,31.3333333333334,10,"Consensus",30,"Consensus (1000, 30)"
"40",10000,1,18.1333333333334,10,"Consensus",30,"Consensus (10000, 30)"
"41",1,0.849685422924167,5159.4,10,"Consensus",50,"Consensus (1, 50)"
"42",10,0.994916157716946,402.48,10,"Consensus",50,"Consensus (10, 50)"
"43",100,1,22.72,10,"Consensus",50,"Consensus (100, 50)"
"44",1000,1,27.76,10,"Consensus",50,"Consensus (1000, 50)"
"45",10000,1,25.8,10,"Consensus",50,"Consensus (10000, 50)"
"46",1,0.867599423140385,5191.28,10,"Consensus",100,"Consensus (1, 100)"
"47",10,0.994916157716946,364.700000000001,10,"Consensus",100,"Consensus (10, 100)"
"48",100,1,25.08,10,"Consensus",100,"Consensus (100, 100)"
"49",1000,1,25.48,10,"Consensus",100,"Consensus (1000, 100)"
"50",10000,1,26.34,10,"Consensus",100,"Consensus (10000, 100)"
"51",1,0.467897764048952,5238,11,"Consensus",1,"Consensus (1, 1)"
"52",10,0.962336449148431,468,11,"Consensus",1,"Consensus (10, 1)"
"53",100,1,0,11,"Consensus",1,"Consensus (100, 1)"
"54",1000,1,0,11,"Consensus",1,"Consensus (1000, 1)"
"55",10000,1,0,11,"Consensus",1,"Consensus (10000, 1)"
"56",1,0.750593815586654,5429.6,11,"Consensus",10,"Consensus (1, 10)"
"57",10,1,351.6,11,"Consensus",10,"Consensus (10, 10)"
"58",100,1,0,11,"Consensus",10,"Consensus (100, 10)"
"59",1000,1,28.6,11,"Consensus",10,"Consensus (1000, 10)"
"60",10000,1,0,11,"Consensus",10,"Consensus (10000, 10)"
"61",1,0.856560935343562,5197.06666666667,11,"Consensus",30,"Consensus (1, 30)"
"62",10,1,355.866666666667,11,"Consensus",30,"Consensus (10, 30)"
"63",100,1,4.53333333333334,11,"Consensus",30,"Consensus (100, 30)"
"64",1000,1,12.4666666666667,11,"Consensus",30,"Consensus (1000, 30)"
"65",10000,1,5.06666666666668,11,"Consensus",30,"Consensus (10000, 30)"
"66",1,0.857303460754119,5214.6,11,"Consensus",50,"Consensus (1, 50)"
"67",10,1,348.84,11,"Consensus",50,"Consensus (10, 50)"
"68",100,1,6.72,11,"Consensus",50,"Consensus (100, 50)"
"69",1000,1,8.84000000000003,11,"Consensus",50,"Consensus (1000, 50)"
"70",10000,1,7.79999999999997,11,"Consensus",50,"Consensus (10000, 50)"
"71",1,0.89420156469432,5164.1,11,"Consensus",100,"Consensus (1, 100)"
"72",10,1,281.740000000001,11,"Consensus",100,"Consensus (10, 100)"
"73",100,1,9.64,11,"Consensus",100,"Consensus (100, 100)"
"74",1000,1,7.74000000000004,11,"Consensus",100,"Consensus (1000, 100)"
"75",10000,1,10.14,11,"Consensus",100,"Consensus (10000, 100)"
"76",1,0.688252258313454,3350,12,"Consensus",1,"Consensus (1, 1)"
"77",10,0.994329643200634,72,12,"Consensus",1,"Consensus (10, 1)"
"78",100,0.994329643200634,72,12,"Consensus",1,"Consensus (100, 1)"
"79",1000,0.994329643200634,72,12,"Consensus",1,"Consensus (1000, 1)"
