"","N_iter","ARI","Frobenius_norm","Simulation","Inference","N_seeds","Model"
"225",1000001,1,39.9353146853147,100,"Bayesian",NA,"Bayesian (Pooled)"
"478",1000001,0.994450763942971,65.2438672438672,10,"Bayesian",NA,"Bayesian (Pooled)"
"703",1000001,1,14.0826673326673,11,"Bayesian",NA,"Bayesian (Pooled)"
"956",1000001,1,47.9165279165278,12,"Bayesian",NA,"Bayesian (Pooled)"
"1209",1000001,1,23.4283494283493,13,"Bayesian",NA,"Bayesian (Pooled)"
"1462",1000001,1,52.9612609612609,14,"Bayesian",NA,"Bayesian (Pooled)"
"1687",1000001,0.993289909731062,124.954045954046,15,"Bayesian",NA,"Bayesian (Pooled)"
"1968",1000001,0.993560993780389,94.0743256743249,16,"Bayesian",NA,"Bayesian (Pooled)"
"2249",1000001,1,42.2831168831161,17,"Bayesian",NA,"Bayesian (Pooled)"
"2502",1000001,1,17.058719058719,18,"Bayesian",NA,"Bayesian (Pooled)"
"2755",1000001,1,21.2807192807192,19,"Bayesian",NA,"Bayesian (Pooled)"
"3036",1000001,1,13.6829170829163,1,"Bayesian",NA,"Bayesian (Pooled)"
"3317",1000001,1,52.3798201798194,20,"Bayesian",NA,"Bayesian (Pooled)"
"3598",1000001,1,36.5080919080911,21,"Bayesian",NA,"Bayesian (Pooled)"
"3879",1000001,0.995047217254748,94.288311688311,22,"Bayesian",NA,"Bayesian (Pooled)"
"4160",1000001,1,21.9774225774219,23,"Bayesian",NA,"Bayesian (Pooled)"
"4441",1000001,1,15.5278721278713,24,"Bayesian",NA,"Bayesian (Pooled)"
"4722",1000001,1,31.8619380619373,25,"Bayesian",NA,"Bayesian (Pooled)"
"4975",1000001,1,14.4404484404483,26,"Bayesian",NA,"Bayesian (Pooled)"
"5256",1000001,1,34.8817182817176,27,"Bayesian",NA,"Bayesian (Pooled)"
"5453",1000001,1,33.2738689881547,28,"Bayesian",NA,"Bayesian (Pooled)"
"5706",1000001,1,50.2657342657342,29,"Bayesian",NA,"Bayesian (Pooled)"
"5959",1000001,1,14.3845043845042,2,"Bayesian",NA,"Bayesian (Pooled)"
"6184",1000001,1,25.9233266733267,30,"Bayesian",NA,"Bayesian (Pooled)"
"6437",1000001,0.993783095942282,68.5798645798645,31,"Bayesian",NA,"Bayesian (Pooled)"
"6718",1000001,1,51.3006993006985,32,"Bayesian",NA,"Bayesian (Pooled)"
"6943",1000001,1,14.8191808191808,33,"Bayesian",NA,"Bayesian (Pooled)"
"7196",1000001,0.995264814721163,59.9269619269618,34,"Bayesian",NA,"Bayesian (Pooled)"
"7477",1000001,1,34.5210789210781,35,"Bayesian",NA,"Bayesian (Pooled)"
"7758",1000001,0.993661065384422,61.6123876123868,36,"Bayesian",NA,"Bayesian (Pooled)"
"8039",1000001,1,27.3628371628363,37,"Bayesian",NA,"Bayesian (Pooled)"
"8292",1000001,1,26.3001443001442,38,"Bayesian",NA,"Bayesian (Pooled)"
"8517",1000001,1,15.2809690309691,39,"Bayesian",NA,"Bayesian (Pooled)"
"8770",1000001,1,12.7885447885447,3,"Bayesian",NA,"Bayesian (Pooled)"
"9051",1000001,1,32.6237762237754,40,"Bayesian",NA,"Bayesian (Pooled)"
"9332",1000001,1,24.4593406593399,41,"Bayesian",NA,"Bayesian (Pooled)"
"9613",1000001,1,23.1608391608384,42,"Bayesian",NA,"Bayesian (Pooled)"
"9866",1000001,1,12.1804861804861,43,"Bayesian",NA,"Bayesian (Pooled)"
"10147",1000001,1,10.3796203796196,44,"Bayesian",NA,"Bayesian (Pooled)"
"10400",1000001,1,54.2570762570761,45,"Bayesian",NA,"Bayesian (Pooled)"
"10681",1000001,1,91.6909090909083,46,"Bayesian",NA,"Bayesian (Pooled)"
"10962",1000001,1,30.8561438561431,47,"Bayesian",NA,"Bayesian (Pooled)"
"11243",1000001,1,28.6803196803189,48,"Bayesian",NA,"Bayesian (Pooled)"
"11524",1000001,1,14.3754245754238,49,"Bayesian",NA,"Bayesian (Pooled)"
"11777",1000001,0.993058678052326,102.962592962593,4,"Bayesian",NA,"Bayesian (Pooled)"
"12058",1000001,1,16.0935064935057,50,"Bayesian",NA,"Bayesian (Pooled)"
"12283",1000001,1,48.4615384615384,51,"Bayesian",NA,"Bayesian (Pooled)"
"12536",1000001,0.992686372543687,82.6289266289265,52,"Bayesian",NA,"Bayesian (Pooled)"
"12817",1000001,0.984946918079544,221.363836163835,53,"Bayesian",NA,"Bayesian (Pooled)"
"13098",1000001,1,12.1194805194797,54,"Bayesian",NA,"Bayesian (Pooled)"
"13379",1000001,1,30.2387612387604,55,"Bayesian",NA,"Bayesian (Pooled)"
"13660",1000001,1,23.5456543456536,56,"Bayesian",NA,"Bayesian (Pooled)"
"13941",1000001,1,81.7780219780212,57,"Bayesian",NA,"Bayesian (Pooled)"
"14222",1000001,0.99354760422442,90.7764235764227,58,"Bayesian",NA,"Bayesian (Pooled)"
"14475",1000001,1,13.3475413475412,59,"Bayesian",NA,"Bayesian (Pooled)"
"14756",1000001,0.992806210517754,134.540259740259,5,"Bayesian",NA,"Bayesian (Pooled)"
"15037",1000001,1,12.0347652347644,60,"Bayesian",NA,"Bayesian (Pooled)"
"15318",1000001,1,21.8341658341651,61,"Bayesian",NA,"Bayesian (Pooled)"
"15599",1000001,1,33.1886113886107,62,"Bayesian",NA,"Bayesian (Pooled)"
"15852",1000001,1,17.1741591741591,63,"Bayesian",NA,"Bayesian (Pooled)"
"16105",1000001,1,18.8700188700187,64,"Bayesian",NA,"Bayesian (Pooled)"
"16386",1000001,1,20.3220779220772,65,"Bayesian",NA,"Bayesian (Pooled)"
"16667",1000001,1,23.761238761238,66,"Bayesian",NA,"Bayesian (Pooled)"
"16920",1000001,1,45.6738816738816,67,"Bayesian",NA,"Bayesian (Pooled)"
"17145",1000001,1,29.8474025974026,68,"Bayesian",NA,"Bayesian (Pooled)"
"17426",1000001,1,19.8973026973019,69,"Bayesian",NA,"Bayesian (Pooled)"
"17679",1000001,0.994322106336867,150.432678432678,6,"Bayesian",NA,"Bayesian (Pooled)"
"17932",1000001,1,17.8530358530358,70,"Bayesian",NA,"Bayesian (Pooled)"
"18213",1000001,1,12.296303696303,71,"Bayesian",NA,"Bayesian (Pooled)"
"18494",1000001,1,63.3714285714278,72,"Bayesian",NA,"Bayesian (Pooled)"
"18775",1000001,1,42.1440559440551,73,"Bayesian",NA,"Bayesian (Pooled)"
"19056",1000001,0.993421902326347,102.948051948051,74,"Bayesian",NA,"Bayesian (Pooled)"
"19337",1000001,1,15.782217782217,75,"Bayesian",NA,"Bayesian (Pooled)"
"19590",1000001,1,54.3631923631922,76,"Bayesian",NA,"Bayesian (Pooled)"
"19871",1000001,1,34.8909090909083,77,"Bayesian",NA,"Bayesian (Pooled)"
"20152",1000001,1,21.6357642357635,78,"Bayesian",NA,"Bayesian (Pooled)"
"20405",1000001,1,13.3153513153512,79,"Bayesian",NA,"Bayesian (Pooled)"
"20686",1000001,0.99360425858079,72.1944055944048,7,"Bayesian",NA,"Bayesian (Pooled)"
"20967",1000001,1,11.7330669330662,80,"Bayesian",NA,"Bayesian (Pooled)"
"21220",1000001,1,40.7847707847708,81,"Bayesian",NA,"Bayesian (Pooled)"
"21473",1000001,1,15.4156954156953,82,"Bayesian",NA,"Bayesian (Pooled)"
"21754",1000001,1,19.6635364635357,83,"Bayesian",NA,"Bayesian (Pooled)"
"22007",1000001,1,26.6549006549006,84,"Bayesian",NA,"Bayesian (Pooled)"
"22288",1000001,1,11.6427572427565,85,"Bayesian",NA,"Bayesian (Pooled)"
"22513",1000001,1,13.0432067932068,86,"Bayesian",NA,"Bayesian (Pooled)"
"22738",1000001,0.993485716833348,87.0774225774226,87,"Bayesian",NA,"Bayesian (Pooled)"
"22935",1000001,0.993827224122492,66.0439560439561,88,"Bayesian",NA,"Bayesian (Pooled)"
"23216",1000001,1,18.7378621378614,89,"Bayesian",NA,"Bayesian (Pooled)"
"23469",1000001,1,24.7692307692307,8,"Bayesian",NA,"Bayesian (Pooled)"
"23694",1000001,1,24.3324175824176,90,"Bayesian",NA,"Bayesian (Pooled)"
"23975",1000001,1,13.1198801198794,91,"Bayesian",NA,"Bayesian (Pooled)"
"24200",1000001,1,13.5084915084915,92,"Bayesian",NA,"Bayesian (Pooled)"
"24453",1000001,1,14.8031968031967,93,"Bayesian",NA,"Bayesian (Pooled)"
"24734",1000001,1,56.1340659340652,94,"Bayesian",NA,"Bayesian (Pooled)"
"25015",1000001,1,11.4183816183809,95,"Bayesian",NA,"Bayesian (Pooled)"
"25268",1000001,1,18.4420024420023,96,"Bayesian",NA,"Bayesian (Pooled)"
"25521",1000001,1,33.3058053058052,97,"Bayesian",NA,"Bayesian (Pooled)"
"25746",1000001,1,34.1266233766234,98,"Bayesian",NA,"Bayesian (Pooled)"
"25943",1000001,1,25.761952333381,99,"Bayesian",NA,"Bayesian (Pooled)"
"26224",1000001,0.994275168577267,91.5560439560432,9,"Bayesian",NA,"Bayesian (Pooled)"
"1",1,0.17952507423341,6826,100,"Consensus",1,"Consensus (1, 1)"
"2",10,0.919061009155953,974,100,"Consensus",1,"Consensus (10, 1)"
"3",100,0.994276272806644,72,100,"Consensus",1,"Consensus (100, 1)"
"4",1000,0.994276272806644,72,100,"Consensus",1,"Consensus (1000, 1)"
"5",10000,0.994276272806644,72,100,"Consensus",1,"Consensus (10000, 1)"
"6",1,0.654222179382717,6386.6,100,"Consensus",10,"Consensus (1, 10)"
"7",10,0.976212973201474,1333,100,"Consensus",10,"Consensus (10, 10)"
"8",100,0.994276272806644,51,100,"Consensus",10,"Consensus (100, 10)"
"9",1000,1,45.2,100,"Consensus",10,"Consensus (1000, 10)"
"10",10000,1,51.4,100,"Consensus",10,"Consensus (10000, 10)"
"11",1,0.784652291310343,6178.93333333333,100,"Consensus",30,"Consensus (1, 30)"
"12",10,0.977841741037875,1002.86666666667,100,"Consensus",30,"Consensus (10, 30)"
"13",100,1,38.8,100,"Consensus",30,"Consensus (100, 30)"
"14",1000,1,36.8666666666667,100,"Consensus",30,"Consensus (1000, 30)"
"15",10000,1,48.6000000000001,100,"Consensus",30,"Consensus (10000, 30)"
"16",1,0.821270852447038,6197.24,100,"Consensus",50,"Consensus (1, 50)"
"17",10,0.977841741037875,991.44,100,"Consensus",50,"Consensus (10, 50)"
"18",100,1,31.92,100,"Consensus",50,"Consensus (100, 50)"
"19",1000,1,37.92,100,"Consensus",50,"Consensus (1000, 50)"
"20",10000,1,41.04,100,"Consensus",50,"Consensus (10000, 50)"
"21",1,0.847541361728809,6149.18,100,"Consensus",100,"Consensus (1, 100)"
"22",10,0.977841741037875,894.600000000001,100,"Consensus",100,"Consensus (10, 100)"
"23",100,1,34.66,100,"Consensus",100,"Consensus (100, 100)"
"24",1000,1,35.62,100,"Consensus",100,"Consensus (1000, 100)"
"25",10000,1,38.5400000000001,100,"Consensus",100,"Consensus (10000, 100)"
"26",1,0.242018701302275,6934,10,"Consensus",1,"Consensus (1, 1)"
"27",10,0.845189440548722,1792,10,"Consensus",1,"Consensus (10, 1)"
"28",100,0.994450763942971,70,10,"Consensus",1,"Consensus (100, 1)"
"29",1000,1,0,10,"Consensus",1,"Consensus (1000, 1)"
"30",10000,0.994450763942971,70,10,"Consensus",1,"Consensus (10000, 1)"
"31",1,0.686205745053201,6158.4,10,"Consensus",10,"Consensus (1, 10)"
"32",10,0.988383654677039,846.2,10,"Consensus",10,"Consensus (10, 10)"
"33",100,0.994450763942971,63,10,"Consensus",10,"Consensus (100, 10)"
"34",1000,1,41.6,10,"Consensus",10,"Consensus (1000, 10)"
"35",10000,0.994450763942971,48.8,10,"Consensus",10,"Consensus (10000, 10)"
"36",1,0.784467650989656,6339.53333333333,10,"Consensus",30,"Consensus (1, 30)"
"37",10,0.982917542263299,1139.46666666667,10,"Consensus",30,"Consensus (10, 30)"
"38",100,0.994450763942971,58.7333333333333,10,"Consensus",30,"Consensus (100, 30)"
"39",1000,1,49.4,10,"Consensus",30,"Consensus (1000, 30)"
"40",10000,0.994450763942971,47.4,10,"Consensus",30,"Consensus (10000, 30)"
"41",1,0.766334593923094,6425,10,"Consensus",50,"Consensus (1, 50)"
"42",10,0.988383654677039,1184.84,10,"Consensus",50,"Consensus (10, 50)"
"43",100,0.994450763942971,57.28,10,"Consensus",50,"Consensus (100, 50)"
"44",1000,0.994450763942971,49.32,10,"Consensus",50,"Consensus (1000, 50)"
"45",10000,0.994450763942971,48.56,10,"Consensus",50,"Consensus (10000, 50)"
"46",1,0.793704156479218,6440.28,10,"Consensus",100,"Consensus (1, 100)"
"47",10,0.994450763942971,1157.64,10,"Consensus",100,"Consensus (10, 100)"
"48",100,0.994450763942971,58.8,10,"Consensus",100,"Consensus (100, 100)"
"49",1000,0.994450763942971,55.72,10,"Consensus",100,"Consensus (1000, 100)"
"50",10000,0.994450763942971,57.6,10,"Consensus",100,"Consensus (10000, 100)"
"51",1,0.176741175654747,6226,11,"Consensus",1,"Consensus (1, 1)"
"52",10,0.971246006389776,360,11,"Consensus",1,"Consensus (10, 1)"
"53",100,1,0,11,"Consensus",1,"Consensus (100, 1)"
"54",1000,1,0,11,"Consensus",1,"Consensus (1000, 1)"
"55",10000,1,0,11,"Consensus",1,"Consensus (10000, 1)"
"56",1,0.632837651387398,6587.8,11,"Consensus",10,"Consensus (1, 10)"
"57",10,1,712.2,11,"Consensus",10,"Consensus (10, 10)"
"58",100,1,0,11,"Consensus",10,"Consensus (100, 10)"
"59",1000,1,9,11,"Consensus",10,"Consensus (1000, 10)"
"60",10000,1,0,11,"Consensus",10,"Consensus (10000, 10)"
"61",1,0.711517205806499,6583.6,11,"Consensus",30,"Consensus (1, 30)"
"62",10,1,1063.2,11,"Consensus",30,"Consensus (10, 30)"
"63",100,1,2.26666666666667,11,"Consensus",30,"Consensus (100, 30)"
"64",1000,1,3.00000000000001,11,"Consensus",30,"Consensus (1000, 30)"
"65",10000,1,3.06666666666667,11,"Consensus",30,"Consensus (10000, 30)"
"66",1,0.771631610898832,6531.12,11,"Consensus",50,"Consensus (1, 50)"
"67",10,1,1096.48,11,"Consensus",50,"Consensus (10, 50)"
"68",100,1,3.19999999999999,11,"Consensus",50,"Consensus (100, 50)"
"69",1000,1,1.80000000000001,11,"Consensus",50,"Consensus (1000, 50)"
"70",10000,1,4.52,11,"Consensus",50,"Consensus (10000, 50)"
"71",1,0.777299106348133,6510.68,11,"Consensus",100,"Consensus (1, 100)"
